label,entityLabel,countryLabel
帕薩赫縣,Pasaje Canton,Ecuador
拉戈阿格里奧縣,Lago Agrio Canton,Ecuador
拉斯納韋斯縣,Las Naves Canton,Ecuador
瓊奇縣,Chunchi Canton,Ecuador
納翁縣,Nabón Canton,Ecuador
特納縣,Tena Canton,Ecuador
阿雷尼利亞斯縣,Arenillas Canton,Ecuador
圖爾高州,Thurgau,Switzerland
外阿彭策爾州,Appenzell Ausserrhoden,Switzerland
施維茨州,Canton of Schwyz,Switzerland
格勞賓登州,Graubünden,Switzerland
楚格州,Canton of Zug,Switzerland
波薩維納州,Posavina Canton,Bosnia and Herzegovina
聖米格爾縣,San Miguel Canton,Ecuador
德桑帕拉多斯縣,Desamparados,Costa Rica
皮曼皮羅縣,Pimampiro Canton,Ecuador
聖拉蒙縣,San Ramón,Costa Rica
戈爾菲托縣,Golfito,Costa Rica
埃斯佩霍縣,Espejo Canton,Ecuador
科雷多雷斯縣,Corredores,Costa Rica
卡洛斯胡利奧阿羅塞梅納托拉縣,Carlos Julio Arosemena Tola Canton,Ecuador
克羅縣,Quero Canton,Ecuador
西格喬斯縣,Sigchos Canton,Ecuador
希梅內斯縣,Jiménez,Costa Rica
波特托韋洛縣,Portovelo Canton,Ecuador
喬爾德萊格縣,Chordeleg Canton,Ecuador
佩尼佩縣,Penipe Canton,Ecuador
米拉縣,Mira Cantón,Ecuador
馬查拉縣,Machala Canton,Ecuador
薩魯馬縣,Zaruma Canton,Ecuador
北阿布维尔县,canton of Abbeville-Nord,France
帕利亞坦加縣,Pallatanga Canton,Ecuador
聖地亞哥德門德斯縣,Santiago de Méndez Canton,Ecuador
聖伊西德羅縣,San Isidro,Costa Rica
埃爾坦博縣,El Tambo Canton,Ecuador
奇利亞內斯縣,Chillanes Canton,Ecuador
希龍縣,Girón Canton,Ecuador
諾沃爾縣,Nobol Canton,Ecuador
蘇斯卡爾縣,Suscal Canton,Ecuador
西格西格縣,Sigsig Canton,Ecuador
馬納縣,Canton of Mana,France
聖多明哥縣,Santo Domingo Canton,Ecuador
格拉魯斯州,Canton of Glarus,Switzerland
苏黎世州,Canton of Zürich,Switzerland
瓦斯克斯德科羅納多縣,Vásquez de Coronado,Costa Rica
波斯尼亞-波德里涅州,Bosnian Podrinje Canton,Bosnia and Herzegovina
澤尼察-多博伊州,Zenica-Doboj Canton,Bosnia and Herzegovina
黑塞哥維那-涅雷特瓦州,Herzegovina-Neretva Canton,Bosnia and Herzegovina
巴塞爾城市州,Basel-Stadt,Switzerland
帕漢縣,Paján Canton,Ecuador
薩基西利縣,Saquisilí Canton,Ecuador
西亚眠县,canton of Amiens 1er,France
莫查縣,Mocha Canton,Ecuador
聖安娜縣,Santa Ana,Costa Rica
汝拉州,Jura,Switzerland
聖克魯斯縣,Santa Cruz Canton,Ecuador
瓜查帕拉縣,Guachapala Canton,Ecuador
阿勞西縣,Alausí Canton,Ecuador
聖費南多縣,San Fernando Canton,Ecuador
圖爾坎縣,Tulcán Canton,Ecuador
保特縣,Paute Canton,Ecuador
瓜諾縣,Guano Canton,Ecuador
蒙圖法爾縣,Montúfar Canton,Ecuador
里奧萬瓦縣,Riobamba Canton,Ecuador
庫里達巴特縣,Curridabat,Costa Rica
阿科斯塔縣,Acosta,Costa Rica
聖巴巴拉縣,Santa Bárbara,Costa Rica
埃切恩迪亞縣,Echeandía Canton,Ecuador
奧尼亞縣,Oña Canton,Ecuador
拉特龍卡爾縣,La Troncal Canton,Ecuador
瓜蘭達縣,Guaranda Canton,Ecuador
阿爾弗雷多巴克里索莫雷諾縣,Alfredo Baquerizo Moreno Canton,Ecuador
蒙特克里斯蒂縣,Montecristi Canton,Ecuador
卡尼亞爾縣,Cañar Canton,Ecuador
德萊格縣,Déleg Canton,Ecuador
欽博縣,Chimbo Canton,Ecuador
庫恩卡縣,Cuenca Canton,Ecuador
新城縣,Pueblo Viejo Canton,Ecuador
维莱博卡日县,canton of Villers-Bocage,France
帕里托縣,Parrita,Costa Rica
洛斯奇萊斯縣,Los Chiles,Costa Rica
上瓦爾登州,Obwalden,Switzerland
下瓦爾登州,Nidwalden,Switzerland
內阿彭策爾州,Appenzell Innerrhoden,Switzerland
卢塞恩州,Canton of Lucerne,Switzerland
提契諾州,Ticino,Switzerland
阿爾高州,Aargau,Switzerland
洛雷托縣,Loreto Canton,Ecuador
普卡拉縣,Pucará Canton,Ecuador
瓜拉塞奧縣,Gualaceo Canton,Ecuador
阿瓜里科縣,Aguarico Canton,Ecuador
阿爾奇多納縣,Archidona Canton,Ecuador
錢博縣,Chambo Canton,Ecuador
聖伊薩貝爾縣,Santa Isabel Canton,Ecuador
阿塞里爾縣,Aserrí,Costa Rica
科爾塔縣,Colta Canton,Ecuador
图里亚尔瓦县,Turrialba,Costa Rica
帕爾馬雷斯縣,Palmares,Costa Rica
蒙托邦德布雷塔尼县,canton of Montauban-de-Bretagne,France
奧漢查縣,Hojancha,Costa Rica
克波斯縣,Quepos,Costa Rica
蓬塔雷納斯縣,Puntarenas Canton,Costa Rica
蒂拉蘭縣,Tilarán,Costa Rica
布埃諾斯艾雷斯縣,Buenos Aires Canton,Costa Rica
卡塔馬約縣,Catamayo Canton,Ecuador
卡爾瓦斯縣,Calvas Canton,Ecuador
佩德羅文森特馬爾多納多縣,Pedro Vicente Maldonado Canton,Ecuador
亞庫安比縣,Yacuambi Canton,Ecuador
巴巴縣,Baba Canton,Ecuador
基托港縣,Puerto Quito Canton,Ecuador
帕基沙縣,Paquisha Canton,Ecuador
帕萊斯蒂納縣,Palestina Canton,Ecuador
梅希亞縣,Mejía Canton,Ecuador
皮欽查縣,Pichincha Canton,Ecuador
貢薩洛皮薩羅縣,Gonzalo Pizarro Canton,Ecuador
蒙塔爾沃縣,Montalvo Canton,Ecuador
馬爾塞利諾馬里杜埃尼亞上校縣,Coronel Marcelino Maridueña Canton,Ecuador
馬爾卡韋利縣,Marcabelí Canton,Ecuador
莫拉維亞縣,Moravia,Costa Rica
阿班加雷斯縣,Abangares,Costa Rica
科托布魯斯縣,Coto Brus,Costa Rica
薩拉皮基縣,Sarapiquí,Costa Rica
聖盧西亞縣,Santa Lucía Canton,Ecuador
納蘭霍縣,Naranjo,Costa Rica
巴爾瓦縣,Barva,Costa Rica
阿拉胡埃拉縣,Alajuela Canton,Costa Rica
貝倫縣,Belén,Costa Rica
安巴托縣,Ambato Canton,Ecuador
塞利卡縣,Celica Canton,Ecuador
塞瓦略斯縣,Cevallos Canton,Ecuador
埃爾卡門縣,El Carmen Canton,Ecuador
埃爾潘吉縣,El Pangui Canton,Ecuador
埃爾特里溫福縣,El Triunfo,Ecuador
巴爾薩爾縣,Balzar Canton,Ecuador
安東尼奧埃利薩爾德將軍縣,General Antonio Elizalde Canton,Ecuador
基霍斯縣,Quijos Canton,Ecuador
帕爾塔斯縣,Paltas Canton,Ecuador
瓜拉基薩縣,Gualaquiza Canton,Ecuador
波佩斯港縣,Puerto López Canton,Ecuador
泰沙縣,Taisha Canton,Ecuador
米拉格羅縣,Milagro Canton,Ecuador
索索蘭加縣,Sozoranga Canton,Ecuador
里奧韋爾德縣,Río Verde Canton,Ecuador
魯米尼亞維縣,Rumiñahui Canton,Ecuador
利蒙因丹薩縣,Cantón Limón Indanza,Ecuador
五月二十日縣,Veinticuatro de Mayo Canton,Ecuador
埃斯平多拉縣,Espíndola Canton,Ecuador
埃爾查科縣,El Chaco Canton,Ecuador
亞瓜奇縣,Yaguachi Canton,Ecuador
巴勞縣,Balao Canton,Ecuador
帕倫克縣,Palenque Canton,Ecuador
帕洛拉縣,Palora Canton,Ecuador
帕斯塔薩縣,Pastaza Canton,Ecuador
帕蘭達縣,Palanda Canton,Ecuador
森蒂內拉德爾孔多爾縣,Centinela del Cóndor Canton,Ecuador
欽奇佩縣,Chinchipe Canton,Ecuador
洛格羅尼奧縣,Logroño Canton,Ecuador
科塔卡奇縣,Cotacachi Canton,Ecuador
萬博亞縣,Huamboya Canton,Ecuador
羅卡富埃爾特縣,Rocafuerte Canton,Ecuador
阿索格斯縣,Azogues Canton,Ecuador
聖米格爾德烏爾庫基縣,San Miguel de Urcuquí Canton,Ecuador
霍亞德洛斯薩查斯縣,Cantón Joya de los Sachas,Ecuador
薩莫拉縣,Zamora Canton,Ecuador
奇利亞縣,Chilla Canton,Ecuador
巴爾薩斯縣,Balsas Canton,Ecuador
瓜莫特縣,Guamote Canton,Ecuador
埃斯帕爾薩縣,Esparza,Costa Rica
弗洛雷斯縣,Flores,Costa Rica
波阿斯縣,Poás,Costa Rica
杜蘭縣,Durán Canton,Ecuador
西南亚眠县,canton of Amiens-7-Sud-Ouest,France
卡米洛蓬塞恩里克斯縣,Camilo Ponce Enríquez Canton,Ecuador
卡揚貝縣,Cayambe Canton,Ecuador
喬內縣,Chone Canton,Ecuador
庫亞韋諾縣,Cuyabeno Canton,Ecuador
弗蘭西斯科德奧雷利亞納縣,Francisco de Orellana Canton,Ecuador
查瓜爾潘巴縣,Chaguarpamba Canton,Ecuador
梅拉縣,Mera Canton,Ecuador
洛馬斯德薩爾亨蒂略縣,Lomas de Sargentillo Canton,Ecuador
科利梅斯縣,Colimes Canton,Ecuador
阿拉胡諾縣,Arajuno Canton,Ecuador
聖克拉拉縣,Santa Clara Canton,Ecuador
聖胡安波斯科縣,San Juan Bosco Canton,Ecuador
舒舒芬迪縣,Shushufindi Canton,Ecuador
西蒙博利瓦爾縣,Simón Bolívar Canton,Ecuador
潘瓜縣,Pangua Canton,Ecuador
弗拉維奧阿爾法羅縣,Flavio Alfaro Canton,Ecuador
埃雷迪亞縣,Heredia Canton,Costa Rica
拉烏尼翁縣,La Unión Canton,Costa Rica
薩爾塞羅縣,Alfaro Ruiz Canton,Costa Rica
蒙特斯德奧卡縣,Montes de Oca,Costa Rica
尼科亞縣,Nicoya,Costa Rica
拉克魯斯縣,La Cruz,Costa Rica
埃爾瓜爾科縣,El Guarco,Costa Rica
卡塔戈县,Cartago Canton,Costa Rica
聖羅薩縣,Santa Rosa Canton,Ecuador
卡尼亞斯縣,Cañas Canton,Costa Rica
利蒙縣,Limón Canton,Costa Rica
拉馬納縣,La Maná Canton,Ecuador
瓦基利亞斯縣,Huaquillas Canton,Ecuador
奧薩縣,Osa,Costa Rica
卡里略縣,Carrillo,Costa Rica
塞維利亞德奧羅縣,Sevilla de Oro Canton,Ecuador
埃斯卡蘇縣,Escazú,Costa Rica
基寧德縣,Quinindé Canton,Ecuador
奧爾梅多縣,"Olmedo Canton, Loja",Ecuador
帕拉伊索縣,Paraíso,Costa Rica
胡寧縣,Junín Canton,Ecuador
多塔縣,Dota,Costa Rica
佩德羅卡爾沃縣,Pedro Carbo Canton,Ecuador
南加里特薩縣,Nangaritza Canton,Ecuador
克韋多縣,Quevedo Canton,Ecuador
拉斯拉哈斯縣,Las Lajas Canton,Ecuador
平達爾縣,Pindal Canton,Ecuador
普揚戈縣,Puyango Canton,Ecuador
莫羅納縣,Morona Canton,Ecuador
聖埃萊納縣,Santa Elena Canton,Ecuador
聖安娜縣,Santa Ana Canton,Ecuador
薩拉古羅縣,Saraguro Canton,Ecuador
馬卡拉縣,Macará Canton,Ecuador
薩波蒂略縣,Zapotillo Canton,Ecuador
阿尔瓦拉多县,Alvarado,Costa Rica
瓦爾韋德韋加縣,Valverde Vega,Costa Rica
聖巴勃羅縣,San Pablo,Costa Rica
戈伊科切亞縣,Goicoechea Canton,Costa Rica
馬蒂納縣,Matina,Costa Rica
卡斯卡萊斯縣,Cascales Canton,Ecuador
聖克魯斯縣,Santa Cruz Canton,Costa Rica
聖多明戈縣,Santo Domingo Canton,Costa Rica
聖馬特奧縣,San Mateo,Costa Rica
埃爾瓜沃縣,El Guabo Canton,Ecuador
埃斯梅拉爾達斯縣,Esmeraldas Canton,Ecuador
烏帕拉縣,Upala,Costa Rica
桑博龍東縣,Samborondón,Ecuador
南達尤雷縣,Nandayure,Costa Rica
阿特納斯縣,Atenas,Costa Rica
哈拉米霍縣,Jaramijó Canton,Ecuador
洛哈縣,Loja Canton,Ecuador
聖何塞縣,San José Canton,Costa Rica
庫曼達縣,Cumandá Canton,Ecuador
塔拉曼卡縣,Talamanca,Costa Rica
拉塔昆加縣,Latacunga Canton,Ecuador
格雷西亞縣,Grecia,Costa Rica
曼塔縣,Manta Canton,Ecuador
薩利特雷縣,Salitre Canton,Ecuador
蒂溫特薩縣,Tiwintza Canton,Ecuador
克莱沃县,Canton of Clervaux,Luxembourg
穆伊斯內縣,Muisne Canton,Ecuador
瓜亞基爾縣,Pajan,Ecuador
洛斯班科斯縣,Los Bancos Canton,Ecuador
納蘭希托縣,Naranjito Canton,Ecuador
蘇昆比奧斯縣,Sucumbíos Canton,Ecuador
揚特薩薩縣,Yantzaza Canton,Ecuador
奧雷亞穆諾縣,Oreamuno,Costa Rica
聖洛倫索縣,San Lorenzo Canton,Ecuador
卡盧馬縣,Caluma Canton,Ecuador
埃爾恩帕爾梅縣,El Empalme Canton,Ecuador
巴倫西亞縣,Valencia Canton,Ecuador
佩德爾納萊斯縣,Pedernales Canton,Ecuador
普希利縣,Pujilí Canton,Ecuador
西米約郡,canton of Millau-Ouest,France
聖卡洛斯縣,San Carlos,Costa Rica
錫基雷斯縣,Siquirres,Costa Rica
奧爾梅多縣,Olmedo Canton,Ecuador
伊薩貝拉縣,Isabela Canton,Ecuador
加拉維托縣,Garabito,Costa Rica
克里昂 (法國),canton of Créon,France
伊西德羅阿約拉縣,Isidro Ayora Canton,Ecuador
普圖馬約縣,Putumayo Canton,Ecuador
道萊縣,Daule Canton,Ecuador
蘇克雷縣,Sucre Canton,Ecuador
佩雷斯塞萊東縣,Pérez Zeledón Canton,Costa Rica
普里斯卡爾縣,Puriscal Canton,Costa Rica
阿拉胡埃利塔縣,Alajuelita Canton,Costa Rica
巴加塞斯縣,Bagaces,Costa Rica
奧羅蒂納縣,Orotina,Costa Rica
聖拉斐爾縣,San Rafael,Costa Rica
阿夫林州,Efrîn Canton,Syria
科巴尼州,Kobanê Canton,Syria
賈茲拉州,Cizîrê Canton,Syria
塔拉蘇縣,Tarrazú Canton,Costa Rica
保祿六世縣,Pablo Sexto Canton,Ecuador
聖佩德羅德瓦卡縣,San Pedro de Huaca Canton,Ecuador
瓜西莫縣,Guácimo,Costa Rica
塔丁乡,Tading,People's Republic of China
聖文森特縣,San Vicente Canton,Ecuador
萊昂科爾特斯卡斯特羅縣,León Cortés Canton,Costa Rica
波爾托維耶霍縣,Portoviejo Canton,Ecuador
阿塔瓦爾帕縣,Atahualpa Cantón,Ecuador
迪基希县,Canton of Diekirch,Luxembourg
聖克里斯托瓦爾縣,San Cristóbal Canton,Ecuador
圖魯巴雷斯縣,Turrubares Canton,Costa Rica
佩德羅蒙卡約縣,Pedro Moncayo Canton,Ecuador
基蘭加縣,Quilanga Canton,Ecuador
安東尼奧安特縣,Antonio Ante Canton,Ecuador
巴巴奧約縣,Babahoyo Canton,Ecuador
希皮哈帕縣,Jipijapa Canton,Ecuador
普拉亞斯縣,Playas Canton,Ecuador
托薩瓜縣,Tosagua Canton,Ecuador
薩利納斯縣,Salinas Canton,Ecuador
金薩洛馬縣,Quinsaloma Canton,Ecuador
蒙特斯德奧羅縣,Montes de Oro,Costa Rica
