label,riverLabel,countryLabel
薩里郡,"Surrey County, Jamaica",Jamaica
希貝尼克-克寧縣,Šibenik-Knin County,Croatia
斯普利特-達爾馬提亞縣,Split-Dalmatia County,Croatia
錫薩克-莫斯拉維納縣,Sisak-Moslavina County,Croatia
韋恩縣,Wayne County,United States of America
科爾斯縣,Coles County,United States of America
威爾縣 (伊利諾伊州),Will County,United States of America
檀香山市縣,Honolulu County,United States of America
邦德里縣 (愛達荷州),Boundary County,United States of America
尤馬縣,Yuma County,United States of America
科奇斯縣,Cochise County,United States of America
皮納爾縣,Pinal County,United States of America
史密斯縣,Smyth County,United States of America
波爾克縣 (愛阿華州),Polk County,United States of America
蒙哥馬利縣 (愛阿華州),Montgomery County,United States of America
愛阿華縣,Iowa County,United States of America
劉易斯縣 (愛達荷州),Lewis County,United States of America
麥迪遜縣 (愛達荷州),Madison County,United States of America
伍斯特郡,Worcestershire,United Kingdom
沃里克郡,Warwickshire,United Kingdom
布萊恩縣 (愛達荷州),Blaine County,United States of America
萊昂縣 (愛阿華州),Lyon County,United States of America
奧西歐拉縣 (愛阿華州),Osceola County,United States of America
洪堡縣,Humboldt County,United States of America
夏洛特縣,Charlotte County,United States of America
斯塔福德縣,Stafford County,United States of America
猶尼昂縣 (愛阿華州),Union County,United States of America
格林斯維爾縣,Greensville County,United States of America
加拉廷縣,Gallatin County,United States of America
內華達縣,Nevada County,United States of America
奇尔顿县,Chilton County,United States of America
基帝塔什縣,Kittitas County,United States of America
杰克逊县,Jackson County,United States of America
斯坦尼斯劳斯县,Stanislaus County,United States of America
斯诺霍米什县,Snohomish County,United States of America
梅肯縣,Macon County,United States of America
梅森县,Mason County,United States of America
聖貝尼托縣,San Benito County,United States of America
謝爾比縣,Shelby County,United States of America
門羅縣 (愛阿華州),Monroe County,United States of America
朗茲縣 (喬治亞州),Lowndes County,United States of America
大曼徹斯特郡,Greater Manchester,United Kingdom
蘇縣 (愛阿華州),Sioux County,United States of America
華盛頓縣 (喬治亞州),Washington County,United States of America
盧卡斯縣 (愛阿華州),Lucas County,United States of America
索拉诺县,Solano County,United States of America
聖馬刁郡,San Mateo County,United States of America
阿拉米達縣,Alameda County,United States of America
门多西诺县,Mendocino County,United States of America
亨利科縣,Henrico County,United States of America
漢諾威縣,Hanover County,United States of America
詹姆斯市縣,James City County,United States of America
切羅基縣,Cherokee County,United States of America
卡洛爾縣,Carroll County,United States of America
卡斯特縣 (愛達荷州),Custer County,United States of America
古丁縣 (愛達荷州),Gooding County,United States of America
奧懷希縣,Owyhee County,United States of America
巴斯縣 (維吉尼亞州),Bath County,United States of America
弗里蒙特縣 (愛達荷州),Fremont County,United States of America
弗米利恩縣 (伊利諾伊州),Vermilion County,United States of America
林肯縣,Lincoln County,United States of America
波卡洪塔斯縣 (愛阿華州),Pocahontas County,United States of America
瓊斯縣 (愛阿華州),Jones County,United States of America
萊克縣,Lake County,United States of America
蒙哥馬利縣,Montgomery County,United States of America
費耶特縣,Fayette County,United States of America
鮑爾縣,Power County,United States of America
坎寧縣 (愛達荷州),Canyon County,United States of America
基奧卡克縣 (愛阿華州),Keokuk County,United States of America
帕洛阿爾托縣 (愛阿華州),Palo Alto County,United States of America
本瓦縣 (愛達荷州),Benewah County,United States of America
特溫福爾斯縣 (愛達荷州),Twin Falls County,United States of America
聖巴巴拉縣,Santa Barbara County,United States of America
弗盧萬納縣,Fluvanna County,United States of America
埃尔多拉多县,El Dorado County,United States of America
阿尔派恩县,Alpine County,United States of America
马林县,Marin County,United States of America
阿米利亞縣 (維吉尼亞州),Amelia County,United States of America
西米德蘭茲郡,West Midlands,United Kingdom
切斯特菲爾德縣,Chesterfield County,United States of America
因约县,Inyo County,United States of America
文图拉县,Ventura County,United States of America
馬德拉縣,Madera County,United States of America
默塞德縣,Merced County,United States of America
多塞特郡,Dorset,United Kingdom
加斯里縣 (愛阿華州),Guthrie County,United States of America
博特托爾特縣 (維吉尼亞州),Botetourt County,United States of America
卡默斯縣 (愛達荷州),Camas County,United States of America
愛達荷縣,Idaho County,United States of America
格蘭迪縣,Grundy County,United States of America
格蘭迪縣 (愛阿華州),Grundy County,United States of America
米尼多卡縣 (愛達荷州),Minidoka County,United States of America
邦納縣 (愛達荷州),Bonner County,United States of America
路易莎縣 (愛阿華州),Louisa County,United States of America
马哈斯卡县 (艾奥瓦州),Mahaska County,United States of America
米德爾塞克斯縣,Middlesex County,United States of America
查爾斯城縣,Charles City County,United States of America
新肯特縣,New Kent County,United States of America
蘇塞克斯縣,Sussex County,United States of America
亨利县,Henry County,United States of America
漢考克縣,Hancock County,United States of America
麥克萊恩縣,McLean County,United States of America
拉特蘭,Rutland,United Kingdom
克恩县,Kern County,United States of America
圣迭戈县,San Diego County,United States of America
沙加緬度郡,Sacramento County,United States of America
纳帕县,Napa County,United States of America
聖華金縣,San Joaquin County,United States of America
莫多克县,Modoc County,United States of America
埃德加縣 (伊利諾伊州),Edgar County,United States of America
萊姆哈伊縣,Lemhi County,United States of America
賓厄姆縣 (愛達荷州),Bingham County,United States of America
邦納維爾縣 (愛達荷州),Bonneville County,United States of America
马萨克县,Massac County,United States of America
凱恩縣 (伊利諾伊州),Kane County,United States of America
庫特內縣 (愛達荷州),Kootenai County,United States of America
不倫瑞克縣 (維吉尼亞州),Brunswick County,United States of America
弗雷德里克县,Frederick County,United States of America
漢密爾頓縣,Hamilton County,United States of America
康沃爾郡,Cornwall,United Kingdom
森麻實郡,Somerset,United Kingdom
赫里福德郡,Herefordshire,United Kingdom
巴伯縣,Barbour County,United States of America
图莱里县,Tulare County,United States of America
聖塔克魯茲縣,Santa Cruz County,United States of America
克拉克县,Clarke County,United States of America
克拉克縣,Clarke County,United States of America
伍德福德縣,Woodford County,United States of America
富蘭克林縣 (愛達荷州),Franklin County,United States of America
巴特勒县,Butler County,United States of America
提頓縣 (愛達荷州),Teton County,United States of America
馬歇爾縣 (愛阿華州),Marshall County,United States of America
埃爾莫爾縣 (愛達荷州),Elmore County,United States of America
伍德伯里縣,Woodbury County,United States of America
夏威夷縣,Hawaii County,United States of America
瑟斯顿县,Thurston County,United States of America
奧奈達縣 (愛達荷州),Oneida County,United States of America
弗里蒙特縣 (愛阿華州),Fremont County,United States of America
費耶特縣 (愛阿華州),Fayette County,United States of America
诺福克郡,Norfolk,United Kingdom
佩埃特縣 (愛達荷州),Payette County,United States of America
內茲珀斯縣 (愛達荷州),Nez Perce County,United States of America
勞登縣,Loudoun County,United States of America
庫爾佩珀縣,Culpeper County,United States of America
瓦利縣 (愛達荷州),Valley County,United States of America
貝德福縣 (維吉尼亞州),Bedford County,United States of America
邁阿密縣,Miami County,United States of America
阿波馬托克斯縣,Appomattox County,United States of America
默西賽德郡,Merseyside,United Kingdom
加羅林縣,Caroline County,United States of America
南安普頓縣,Southampton County,United States of America
懷特島縣,Isle of Wight County,United States of America
費爾法克斯縣,Fairfax County,United States of America
德文郡,Devon,United Kingdom
富蘭克林縣,Franklin County,United States of America
猶尼昂縣,Union County,United States of America
薩林縣,Saline County,United States of America
丁威迪縣,Dinwiddie County,United States of America
喬治王子縣,Prince George County,United States of America
福基爾縣,Fauquier County,United States of America
謝南多厄縣,Shenandoah County,United States of America
摩根县,Morgan County,United States of America
图奥勒米县,Tuolumne County,United States of America
德尔诺特县,Del Norte County,United States of America
沙斯塔县,Shasta County,United States of America
阿马多尔县,Amador County,United States of America
威斯特摩兰县,Westmoreland County,United States of America
埃塞克斯郡,Essex,United Kingdom
伯克郡,Berkshire,United Kingdom
漢普郡,Hampshire,United Kingdom
特納縣 (喬治亞州),Turner County,United States of America
亨德森縣,Henderson County,United States of America
白金汉郡,Buckinghamshire,United Kingdom
福特縣 (伊利諾伊州),Ford County,United States of America
格林縣 (愛阿華州),Greene County,United States of America
奧古斯塔-里奇蒙縣 (喬治亞州),Richmond County,United States of America
漢密爾頓縣 (愛阿華州),Hamilton County,United States of America
本尼特縣,Bennett County,United States of America
比德爾縣,Beadle County,United States of America
喬克托縣,Choctaw County,United States of America
托馬斯縣 (喬治亞州),Thomas County,United States of America
普瓦斯基縣 (喬治亞州),Pulaski County,United States of America
特勒爾縣 (喬治亞州),Terrell County,United States of America
布坎南縣 (維吉尼亞州),Buchanan County,United States of America
傑斯帕縣,Jasper County,United States of America
戴維森縣,Davison County,United States of America
狄更生縣 (維吉尼亞州),Dickenson County,United States of America
白金漢縣 (維吉尼亞州),Buckingham County,United States of America
肖肖尼縣 (愛達荷州),Shoshone County,United States of America
馬斯卡廷縣 (愛阿華州),Muscatine County,United States of America
奥陶加县,Autauga County,United States of America
蘭開斯特縣,Lancaster County,United States of America
奎特曼縣 (喬治亞州),Quitman County,United States of America
邁納縣,Miner County,United States of America
傑佛遜縣,Jefferson County,United States of America
斯蒂芬斯縣 (喬治亞州),Stephens County,United States of America
鲍曼县,Bowman County,United States of America
貝德福德郡,Bedfordshire,United Kingdom
阿利根尼縣,Alleghany County,United States of America
波瓦坦縣,Powhatan County,United States of America
麥克弗森縣,McPherson County,United States of America
奧蘭治縣,Orange County,United States of America
泰勒縣 (喬治亞州),Taylor County,United States of America
薩姆特縣 (喬治亞州),Sumter County,United States of America
大伦敦,Greater London,United Kingdom
坎伯蘭縣 (維吉尼亞州),Cumberland County,United States of America
特爾費爾縣,Telfair County,United States of America
皮肯斯縣 (喬治亞州),Pickens County,United States of America
懷特縣,White County,United States of America
钱伯斯县,Chambers County,United States of America
塔爾博特縣 (喬治亞州),Talbot County,United States of America
富蘭克林縣 (愛阿華州),Franklin County,United States of America
惠勒縣 (喬治亞州),Wheeler County,United States of America
弗洛伊德縣 (愛阿華州),Floyd County,United States of America
薩里縣 (維吉尼亞州),Surry County,United States of America
卡洛爾縣 (伊利諾伊州),Carroll County,United States of America
蒙哥馬利縣 (喬治亞州),Montgomery County,United States of America
賴特縣 (愛阿華州),Wright County,United States of America
優洛縣,Yolo County,United States of America
布朗特县,Blount County,United States of America
威廉森縣,Williamson County,United States of America
比尤特县,Butte County,United States of America
門羅縣,Monroe County,United States of America
麥迪遜縣,Madison County,United States of America
漢考克縣 (喬治亞州),Hancock County,United States of America
哈丁縣,Hardin County,United States of America
聖克萊爾縣,St. Clair County,United States of America
布洛克县,Bullock County,United States of America
哈利法克斯縣,Halifax County,United States of America
塞米諾爾縣 (喬治亞州),Seminole County,United States of America
阿默斯特縣 (維吉尼亞州),Amherst County,United States of America
克雷格縣 (維吉尼亞州),Craig County,United States of America
坎貝爾縣 (維吉尼亞州),Campbell County,United States of America
威爾特郡,Wiltshire,United Kingdom
沃克縣 (喬治亞州),Walker County,United States of America
保爾丁縣 (喬治亞州),Paulding County,United States of America
默納德縣,Menard County,United States of America
聖塔克拉拉縣,Santa Clara County,United States of America
傑姆縣 (愛達荷州),Gem County,United States of America
博諾姆縣,Bon Homme County,United States of America
布蘭德縣 (維吉尼亞州),Bland County,United States of America
布魯金斯縣,Brookings County,United States of America
斯科特縣,Scott County,United States of America
普特南縣 (喬治亞州),Putnam County,United States of America
普瓦斯基縣,Pulaski County,United States of America
格雷森縣,Grayson County,United States of America
梅里韋瑟縣 (喬治亞州),Meriwether County,United States of America
波爾克縣,Polk County,United States of America
波特瓦特米縣,Pottawattamie County,United States of America
沃尔顿县,Walton County,United States of America
牛頓縣 (喬治亞州),Newton County,United States of America
特魯普縣 (喬治亞州),Troup County,United States of America
特魯特倫縣 (喬治亞州),Treutlen County,United States of America
蘭道夫縣,Randolph County,United States of America
蘭道夫縣 (喬治亞州),Randolph County,United States of America
阿普森县 (佐治亚州),Upson County,United States of America
韋爾縣 (喬治亞州),Ware County,United States of America
奧布賴恩縣 (愛阿華州),O'Brien County,United States of America
拉森县,Lassen County,United States of America
普卢默斯县,Plumas County,United States of America
莫诺县,Mono County,United States of America
鲍德温县,Baldwin County,United States of America
羅克代爾縣 (喬治亞州),Rockdale County,United States of America
蒂夫特縣 (喬治亞州),Tift County,United States of America
格洛斯特郡,Gloucestershire,United Kingdom
特里普縣,Tripp County,United States of America
沃倫縣,Warren County,United States of America
約克縣,York County,United States of America
斯波爾丁縣,Spalding County,United States of America
特維格縣 (喬治亞州),Twiggs County,United States of America
皮茨爾瓦尼亞縣,Pittsylvania County,United States of America
蒂黑马县,Tehama County,United States of America
伯利縣,Burleigh County,United States of America
纳什维尔,Nashville,United States of America
齊巴赫縣 (南達科他州),Ziebach County,United States of America
喬戴維斯縣,Jo Daviess County,United States of America
皮亞特縣 (伊利諾伊州),Piatt County,United States of America
拉薩爾縣,LaSalle County,United States of America
塔特納爾縣 (喬治亞州),Tattnall County,United States of America
拉帕漢諾克縣,Rappahannock County,United States of America
佩里縣,Perry County,United States of America
水牛縣,Buffalo County,United States of America
里奇蒙縣,Richmond County,United States of America
米勒縣 (喬治亞州),Miller County,United States of America
薩里郡,Surrey,United Kingdom
諾森伯蘭縣,Northumberland County,United States of America
奧羅拉縣,Aurora County,United States of America
奧格爾縣,Ogle County,United States of America
阿爾伯馬爾縣,Albemarle County,United States of America
哈拉爾森縣,Haralson County,United States of America
肯特郡,Kent,United Kingdom
沃巴什縣,Wabash County,United States of America
牛津郡,Oxfordshire,United Kingdom
拉塞爾縣,Russell County,United States of America
埃德蒙茲縣,Edmunds County,United States of America
戴縣,Day County,United States of America
麥克亨利縣 (伊利諾伊州),McHenry County,United States of America
傑羅姆縣 (愛達荷州),Jerome County,United States of America
卡拉沃县,Kalawao County,United States of America
哈伯沙姆縣 (喬治亞州),Habersham County,United States of America
倫敦市,City of London,United Kingdom
阿馬郡,County Armagh,United Kingdom
科卢萨县,Colusa County,United States of America
杜瓦爾縣 (佛羅里達州),Duval County,United States of America
梅克倫堡縣 (維吉尼亞州),Mecklenburg County,United States of America
愛德華王子縣,Prince Edward County,United States of America
斯波特瑟爾韋尼亞縣,Spotsylvania County,United States of America
明尼哈哈縣,Minnehaha County,United States of America
查爾斯米克斯縣,Charles Mix County,United States of America
澤西縣,Jersey County,United States of America
雷本縣,Rabun County,United States of America
三一县,Trinity County,United States of America
科荷馬縣,Coahoma County,United States of America
勞倫斯縣,Lawrence County,United States of America
富兰克林县,Franklin County,United States of America
格伦县,Glenn County,United States of America
安克拉治,Anchorage,United States of America
貝林縣,Berrien County,United States of America
托馬斯縣,Thomas County,United States of America
萊昂縣,Lyon County,United States of America
華萊士縣,Wallace County,United States of America
安特里姆郡,County Antrim,United Kingdom
懷斯縣,Wise County,United States of America
斯凱勒縣,Schuyler County,United States of America
漢弗萊斯縣,Humphreys County,United States of America
朱厄爾縣,Jewell County,United States of America
馬歇爾縣 (伊利諾伊州),Marshall County,United States of America
西薩塞克斯郡,West Sussex,United Kingdom
洛根縣 (伊利諾伊州),Logan County,United States of America
梅肯,Macon,United States of America
納爾遜縣,Nelson County,United States of America
格蘭特縣 (維多利亞州),Grant,Australia
斯科特縣 (明尼蘇達州),Scott County,United States of America
沃倫縣 (伊利諾伊州),Warren County,United States of America
錫特卡,Sitka,United States of America
尼肖巴縣,Neshoba County,United States of America
默瑟縣 (伊利諾伊州),Mercer County,United States of America
坎貝爾縣,Campbell County,United States of America
巴特勒縣,Butler County,United States of America
本頓縣,Benton County,United States of America
盧卡斯縣,Lucas County,United States of America
富爾頓縣 (伊利諾伊州),Fulton County,United States of America
莫雷縣 (明尼蘇達州),Murray County,United States of America
佩奇縣,Page County,United States of America
馬諾門縣 (明尼蘇達州),Mahnomen County,United States of America
高地縣 (維吉尼亞州),Highland County,United States of America
杜爾縣,Deuel County,United States of America
凱霍加縣,Cuyahoga County,United States of America
羅藍縣,Lorain County,United States of America
卡斯特縣,Custer County,United States of America
布魯爾縣,Brule County,United States of America
懷特塞德縣,Whiteside County,United States of America
摩根縣 (伊利諾伊州),Morgan County,United States of America
杜威縣,Dewey County,United States of America
比伯县 (佐治亚州),Bibb County,United States of America
派克縣,Pike County,United States of America
派克縣 (伊利諾伊州),Pike County,United States of America
湯斯縣 (喬治亞州),Towns County,United States of America
瓊斯縣,Jones County,United States of America
羅克艾蘭縣 (伊利諾伊州),Rock Island County,United States of America
蒂帕縣,Tippah County,United States of America
麥克萊德縣 (明尼蘇達州),McLeod County,United States of America
金斯县,Kings County,United States of America
奇克索縣,Chickasaw County,United States of America
萨特县,Sutter County,United States of America
哈康縣,Haakon County,United States of America
謝拉縣,Sierra County,United States of America
马里波萨县,Mariposa County,United States of America
阿塔拉縣,Attala County,United States of America
塔茲韋爾縣 (維吉尼亞州),Tazewell County,United States of America
威斯縣,Wythe County,United States of America
盧嫩堡縣 (維吉尼亞州),Lunenburg County,United States of America
費雷斯諾縣,Fresno County,United States of America
斯克里文縣 (喬治亞州),Screven County,United States of America
諾托韋縣,Nottoway County,United States of America
亞代爾縣,Adair County,United States of America
卡尔曼县,Cullman County,United States of America
朱諾,Juneau,United States of America
锡斯基尤县,Siskiyou County,United States of America
沃爾索爾縣,Walthall County,United States of America
尤巴县,Yuba County,United States of America
勒蘇爾縣 (明尼蘇達州),Le Sueur County,United States of America
桑加蒙縣 (伊利諾伊州),Sangamon County,United States of America
沃通旺县 (明尼苏达州),Watonwan County,United States of America
科森縣,Corson County,United States of America
莫爾特里縣 (伊利諾伊州),Moultrie County,United States of America
倫敦德里郡,County Londonderry,United Kingdom
蒂龍郡,County Tyrone,United Kingdom
蘇厄德縣,Seward County,United States of America
路易莎縣,Louisa County,United States of America
古奇蘭縣,Goochland County,United States of America
李縣,Lee County,United States of America
东萨塞克斯郡,East Sussex,United Kingdom
佩里县,Perry County,United States of America
因皮里尔县,Imperial County,United States of America
聖約瑟夫縣,St. Joseph County,United States of America
奧爾康縣,Alcorn County,United States of America
蒂肖明戈縣,Tishomingo County,United States of America
阿米特縣,Amite County,United States of America
伍茲湖縣,Lake of the Woods County,United States of America
易洛魁縣 (伊利諾伊州),Iroquois County,United States of America
科丁頓縣,Codington County,United States of America
马库平县 (伊利诺伊州),Macoupin County,United States of America
內斯縣,Ness County,United States of America
哈斯克爾縣,Haskell County,United States of America
金曼縣,Kingman County,United States of America
羅京安縣,Rockingham County,United States of America
帕特里克縣,Patrick County,United States of America
洛亞諾克縣,Roanoke County,United States of America
羅克布里奇縣 (維吉尼亞州),Rockbridge County,United States of America
唐郡,County Down,United Kingdom
弗馬納郡,County Fermanagh,United Kingdom
韦恩县,Wayne County,United States of America
卡拉韦拉斯县,Calaveras County,United States of America
普莱瑟县,Placer County,United States of America
玻利瓦爾縣,Bolivar County,United States of America
梅森縣,Mason County,United States of America
太平县 (北齐),Q10941286,People's Republic of China
姚谷县,Q10943419,People's Republic of China
俞元县,Q10887768,People's Republic of China
陭氏县,Q10565434,People's Republic of China
顺圣县,Q10566163,People's Republic of China
顺宁县,Q10566165,People's Republic of China
须江县,Q10566183,People's Republic of China
骊靬县,Q10566642,People's Republic of China
阆英县,Q10564875,People's Republic of China
震泽县,Q10565903,People's Republic of China
骊邑县,Q10566640,People's Republic of China
高都县,Q10566848,People's Republic of China
鬲县,Q10566895,People's Republic of China
凉兴县,Q10895797,People's Republic of China
勇田县,Q10901155,People's Republic of China
娄县 (清朝县份),Q10943805,People's Republic of China
安众县,Q10946380,People's Republic of China
唐林县,Q10866724,People's Republic of China
俊靡县,Q10887477,People's Republic of China
保京县,Q10887491,People's Republic of China
保城县,Q10887574,People's Republic of China
向城县,Q10918088,People's Republic of China
賈爾斯縣 (維吉尼亞州),Giles County,United States of America
高凉县,Q10566707,People's Republic of China
喬治王縣,King George County,United States of America
义宁县,Q10877790,People's Republic of China
高城县,Q10566722,People's Republic of China
高平县,Q10566758,People's Republic of China
阜阳县,Q10564883,People's Republic of China
陵阳县,Q10565660,People's Republic of China
首阳县,Q10566306,People's Republic of China
高陆县,Q10566859,People's Republic of China
龙溪县,Q10567429,People's Republic of China
下隽县,Q10868763,People's Republic of China
临湍县,Q10877199,People's Republic of China
令支县,Q10884467,People's Republic of China
埒县,Q10870114,People's Republic of China
宣乐县,Q10878796,People's Republic of China
无盐县,Q10894050,People's Republic of China
陵城县,Q10565656,People's Republic of China
难江县,Q10565778,People's Republic of China
顺化县,Q10566161,People's Republic of China
顺政县,Q10566174,People's Republic of China
须城县,Q10566179,People's Republic of China
须昌县,Q10566181,People's Republic of China
饶安县,Q10566290,People's Republic of China
高亭县,Q10566673,People's Republic of China
高明县,Q10566782,People's Republic of China
高柳县,Q10566788,People's Republic of China
高苑县,Q10566819,People's Republic of China
娄县 (江苏古县份),Q10943804,People's Republic of China
闾阳县,Q10564869,People's Republic of China
阆中县,Q10564870,People's Republic of China
乌程县,Q10878165,People's Republic of China
信宁县,Q10887970,People's Republic of China
修都县,Q10888121,People's Republic of China
宾县 (古代),Q10879036,People's Republic of China
格蘭特縣,Grant County,United States of America
達科他縣 (內布拉斯加州),Dakota County,United States of America
伊頓縣,Eaton County,United States of America
博伊德縣,Boyd County,United States of America
坎卡基縣,Kankakee County,United States of America
揚克頓縣,Yankton County,United States of America
波尼縣,Pawnee County,United States of America
金博爾縣,Kimball County,United States of America
科爾法克斯縣 (內布拉斯加州),Colfax County,United States of America
拉法葉縣,Lafayette County,United States of America
劳德代尔县,Lauderdale County,United States of America
塞奇威克县,Sedgwick County,United States of America
安居縣,Q10946625,People's Republic of China
尼馬哈縣,Nemaha County,United States of America
吉奧格縣,Geauga County,United States of America
斯塔克縣,Stark County,United States of America
普拉特縣,Pratt County,United States of America
哈維縣,Harvey County,United States of America
羅林斯縣,Rawlins County,United States of America
霍治曼縣,Hodgeman County,United States of America
保爾丁縣,Paulding County,United States of America
富蘭克林縣 (內布拉斯加州),Franklin County,United States of America
李縣 (伊利諾伊州),Lee County,United States of America
霍爾姆斯縣 (密西西比州),Holmes County,United States of America
伊利縣,Erie County,United States of America
惠勒縣,Wheeler County,United States of America
哥倫比亞納縣,Columbiana County,United States of America
塔斯卡羅瓦斯縣,Tuscarawas County,United States of America
杰克逊县 (密西西比州),Jackson County,United States of America
道格拉斯县 (内布拉斯加州),Douglas County,United States of America
里奇蘭縣 (伊利諾伊州),Richland County,United States of America
哈定縣,Harding County,United States of America
卡尼縣,Kearny County,United States of America
埃爾斯沃思縣,Ellsworth County,United States of America
奥格莱塞县,Auglaize County,United States of America
懷恩多特縣,Wyandotte County,United States of America
