label,cityLabel,countryLabel,population
諾斯布魯克 (伊利諾伊州),Northbrook,United States of America,33170
圣埃莱纳德哈穆斯,Santa Elena de Jamuz,Spain,1133
托雷洪西略,Torrejoncillo,Spain,3116
米內拉爾尼巴尼,Mineralni Bani,Bulgaria,1241
佩恩燕,Penn Yan,United States of America,5159
塞勒海德,Salkhad,Syria,15000
迪迪多,Dededo,United States of America,44943
翁加薩雷,Ongassaare,Estonia,6
亚当斯敦,Adamstown,United Kingdom,56
卡尔瓦霍,Carbajo,Spain,217
哈伦,Haren,Netherlands,19089
格尼 (伊利諾州),Gurnee,United States of America,31295
布莱兹,Brades,United Kingdom,391
拉奇蒙特,Larchmont,United States of America,6485
馬盧拉,Ma'loula,Syria,2762
凱納爾賈,Kaynardzha,Bulgaria,699
(俄占)丘米坎,Chumikan,Russia,1091
谢拉德丰特斯,Sierra de Fuentes,Spain,2026
阿尔卑巴赫,Alpbach,Austria,2560
卡廷,Katyn,Russia,1737
索伊斯,Xois,Egypt,14733
達斯卡洛夫兄弟村,Bratya Daskalovi,Bulgaria,703
梅里奇萊里,Merichleri,Bulgaria,1802
奥伊米亚康,Oymyakon,Russia,462
伊利諾伊州,Evergreen Park,United States of America,20821
阿布凱馬勒,Abu Kamal,Syria,52020
戈里施,Gohrisch,Germany,2234
阿扎茲,Azaz,Syria,66138
卡斯姆,Käsmu,Estonia,105
梅德利,"Madeley, Staffordshire",United Kingdom,4222
格倫伍德（伊利諾州）,Glenwood,United States of America,8969
聶梅濟斯,Nemėžis,Lithuania,2498
亞姆,Eyam,United Kingdom,969
女士城,Ladyville,Belize,5458
切纳德乡,Cenade,Romania,933
乌赫斯特海斯特,Oegstgeest,Netherlands,23223
羊角村,Giethoorn,Netherlands,2620
巴尔达斯蒂利亚斯,Valdastillas,Spain,325
阿尔德亚森特内拉,Aldeacentenera,Spain,634
季米特洛夫格勒,Dimitrovgrad,Russia,1929
卡萨雷斯德拉斯乌尔德斯,Casares de las Hurdes,Spain,413
斯特赖恩,Strijen,Netherlands,8763
厄格里,Ērgļi,Latvia,2168
卡萨斯德尔蒙特,Casas del Monte,Spain,827
诺德韦克豪特,Noordwijkerhout,Netherlands,16140
奥尔格拉,Holguera,Spain,673
萨尔萨德格拉纳迪利亚,Zarza de Granadilla,Spain,1827
阿尔科利亚林,Alcollarín,Spain,249
坎皮略德德莱托萨,Campillo de Deleitosa,Spain,51
貝爾伍,Bellwood,United States of America,19071
费耶特,Fayette,United States of America,243
阿伊加尔,Ahigal,Spain,1409
贝尔金乡,Berghin,Romania,732
赞瑟斯汉斯,Zaanse Schans,Netherlands,100
皮伊卢比耶,Puyloubier,France,1873
蒙德,Mund,Switzerland,544
迪爾菲爾德,Deerfield,United States of America,18225
泽布吕赫,Zeebrugge,Belgium,4094
斯特賴克 (俄亥俄州),Stryker,United States of America,1335
塞迪略,Cedillo,Spain,465
圣潘克拉茨,Sankt Pankraz,Austria,353
阿尔德亚德尔卡诺,Aldea del Cano,Spain,651
托罗港,Puerto Toro,Chile,50
舊拉多加,Staraya Ladoga,Russia,2012
扎克羅斯,Zakros,Greece,640
比斯特拉乡,Bistra,Romania,1988
Kefermarkt,Kefermarkt,Austria,2083
霍夫曼伊斯塔特,Hoffman Estates,United States of America,51895
巴内维茨,Bannewitz,Germany,10851
利陶,Littau,Switzerland,17224
埃克拉,Ikla,Estonia,149
康斯伯里,Congresbury,United Kingdom,3497
1770 (昆士蘭州),Seventeen Seventy,Australia,76
阿韦尔图拉,Abertura,Spain,423
卡迪爾恩吉爾,Cadier en Keer,Netherlands,3667
韦弗尔海姆,Wevelgem,Belgium,31291
塔尼斯,Tanis,Egypt,43157
伊格爾河 (威斯康星州),Eagle River,United States of America,1398
索羅科馬,Solocma,Romania,356
苏韦达,Al-Suwayda,Syria,64730
法加托戈,Fagatogo,United States of America,1100
卡尔萨迪利亚,Calzadilla,Spain,493
杜德,Q1429936,Belarus,88
奈瓦,Nawa,Syria,63676
維維利,Wiwilí de Jinotega,Nicaragua,72485
列什蒂,Liești,Romania,8902
滕布尔,Ten Boer,Netherlands,7356
費嫩達爾,Veenendaal,Netherlands,63812
卡萨斯德东戈梅斯,Casas de Don Gómez,Spain,294
巴尼奥斯德蒙特迈奥尔,Baños de Montemayor,Spain,779
波尔塔赫,Portaje,Spain,386
史科基村 (伊利諾伊州),Skokie,United States of America,64784
绍姆堡,Schaumburg,United States of America,74227
尼德罗斯拉,Niederroßla,Germany,1253
旧拜耶兰,Oud-Beijerland,Netherlands,23860
克里特島,Kandanos,Greece,421
聖科洛馬,Santa Coloma d'Andorra,Andorra,3002
施马钦,Schmatzin,Germany,302
羅斯蒙特,Rosemont,United States of America,4224
奧克朗,Oak Lawn,United States of America,56690
梅爾濟豐,Merzifon,Turkey,54709
兰韦尔普尔古因吉尔戈格里惠尔恩德罗布尔兰蒂西利奥戈戈戈赫,Llanfairpwllgwyngyll,United Kingdom,3107
大學公園 (伊利諾州),"University Park, Illinois",United States of America,7129
莫斯科波萊,Moscopole,Albania,2218
森林山,Forest Hill,United States of America,456
卡米诺莫里斯科,Caminomorisco,Spain,1228
吉霍德加利斯特奥,Guijo de Galisteo,Spain,1559
布兰迪亚纳乡,Blandiana,Romania,543
弗勒里德旺杜奥蒙,Fleury-devant-Douaumont,France,0
温特沃斯,Wentworth,United States of America,171
里普利 (俄亥俄),Ripley,United States of America,1750
康弗斯,Converse,United States of America,400
波瓦坦,Powhatan,United States of America,141
里士满,Richmond,United States of America,499
法明代爾,Farmingdale,United States of America,8189
卑路乍,Belcher,United States of America,263
巴林頓山,Barrington Hills,United States of America,4209
蒂鲁马拉,Tirumala,India,7741
別尼察,Q7256240,Belarus,279
奈亞克,Nyack,United States of America,6765
派厄尼,Pioneer,United States of America,171
伊斯特伍德,Estherwood,United States of America,889
格魯茲多沃,Q7224825,Belarus,134
奥尔内 (默兹省),Ornes,France,6
大阿尔马舒乡,Almașu Mare,Romania,394
休镇,Hugh Town,United Kingdom,1068
乔治敦,Georgetown,United States of America,301
林奇 (內布拉斯加州),Lynch,United States of America,245
克利夫頓 (俄亥俄),Clifton,United States of America,152
芒德,Mound,United States of America,12
光頭島,Bald Head Island,United States of America,158
塞雷索,Cerezo,Spain,177
博伊尼察,Boynitsa,Bulgaria,573
亞基莫沃,Yakimovo,Bulgaria,1787
波特尔,Portal,United States of America,126
薩斯科遺址,Sesklo,Greece,862
阿加尼亚,Hagåtña,United States of America,1051
佩德罗索德亚西姆,Pedroso de Acim,Spain,101
斯坦博洛沃,Stambolovo,Bulgaria,656
特拉貝,Q3647159,Belarus,842
海澤布魯克,Hazelbrook,Australia,4974
克拉克斯維爾 (俄亥俄州),Clarksville,United States of America,548
撒達得 (敘利亞),Sadad,Syria,3000
埃奇菲尔德,Edgefield,United States of America,190
普加利村,Põgari-Sassi,Estonia,13
皮乌察,Piusa,Estonia,5
格奧爾基達米亞洛沃,Georgi Damyanovo,Bulgaria,496
卡尤加縣 (紐約州),Aurora,United States of America,724
卢韦蒙科泰-迪普瓦夫尔,Louvemont-Côte-du-Poivre,France,0
皮布尔斯,Peebles,United States of America,1782
橋景城,Bridgeview,United States of America,16446
布里斯托 (內布拉斯加州),Bristow,United States of America,65
泰勒艾卜耶德,Tell Abyad,Syria,12490
北霍奇,North Hodge,United States of America,436
薩格港,Sag Harbor,United States of America,2169
比克 (林肯郡),Bicker,United Kingdom,941
立陶宛,Stelmužė,Lithuania,50
甘比尔,Gambier,United States of America,2391
霍奇,Hodge,United States of America,492
梅坞市,Maywood,United States of America,24090
馬薩阿拉姆,Marsa Alam,Egypt,1918
韋斯特伯里,"Westbury, New York",United States of America,15146
福利斯特,Forest,United States of America,275
奥蒙普雷桑奥盖于,Haumont-près-Samogneux,France,0
霍尔峰会,Hall Summit,United States of America,295
卡拿祖哈利,"Canajoharie (village), New York",United States of America,2229
伊戈,Yigo,United States of America,20539
土耳其河,Turkey Creek,United States of America,441
拉克奇,Lucky,United States of America,272
舍赫巴,Shahba,Syria,16745
诺布,Noble,United States of America,259
默门托,Mermentau,United States of America,661
內韋斯蒂諾,Nevestino,Bulgaria,552
伯宗沃,Bezonvaux,France,0
出卓安特,Choudrant,United States of America,845
雅典,Athens,United States of America,249
埃爾庫阿,El Cuá,Nicaragua,43305
博羅萬,Borovan,Bulgaria,2505
米勒斯波特 (俄亥俄州),Millersport,United States of America,1044
馬歇爾維爾,Marshallville,United States of America,756
莫薩爾,Q2559780,Belarus,348
屈米埃莱-莫尔翁,Cumières-le-Mort-Homme,France,0
韋特里諾,Vetrino,Bulgaria,1009
大凯恩,Grand Cane,United States of America,242
戈德拉,Godhra,India,161925
穆恩德卡,Mundka,India,54541
嘎拉綠洲,Qara Oasis,Egypt,363
肯尼爾沃斯,Kenilworth,United States of America,2513
白廳 (紐約州),"Whitehall (village), New York",United States of America,2616
韦尔丹瓦地区博蒙,Beaumont-en-Verdunois,France,0
里夫斯,Reeves,United States of America,232
阿諾卡 (內布拉斯加州),Anoka,United States of America,6
康登 (俄亥俄州),Camden,United States of America,2046
坎坷顿,Cankton,United States of America,362
呂萊梅埃,Lüllemäe,Estonia,253
普斯投茲約斯克,Pustozyorsk,Russia,0
阿尔德韦拉德赫尔特,Aldehuela de Jerte,Spain,374
亚什兰,Ashland,United States of America,269
西西里岛,Sicily Island,United States of America,526
多多尼,Dodoni,Greece,55
卡萨斯德米良,Casas de Millán,Spain,634
圣埃莱纳,Santa Elena,Spain,966
阿瑟港,Port Arthur,Australia,251
弗雷斯诺德托罗特,Fresno de Torote,Spain,2044
卡斯托,Castor,United States of America,258
本克伦西亚,Benquerencia,Spain,79
伊诺哈尔,Hinojal,Spain,408
加尔格拉,Gargüera de la Vera,Spain,136
贝罗卡莱霍,Berrocalejo,Spain,113
奥尔巴尼,Albany,United States of America,1088
Šiprage,Šiprage,Bosnia and Herzegovina,788
赫斯米尔,Hessmer,United States of America,802
赫夫林,Heflin,United States of America,245
布隆克維,Bronxville,United States of America,6323
爱迪生,Edison,United States of America,133
馬龍村,Malone,United States of America,6075
艾达,Ida,United States of America,221
巴維特,Bawit,Egypt,9516
馬利索,Merizo,United States of America,1850
格拉韦多纳,Gravedona,Italy,2611
耶洛斯普林,Yellow Springs,United States of America,3487
埃德莫,Edmore,United States of America,1201
卡里 (愛沙尼亞),"Kaali, Estonia",Estonia,35
费舍尔,Fisher,United States of America,268
布洛頓 (俄亥俄州),Broughton,United States of America,120
費耶特維爾,Fayetteville,United States of America,4373
芤日诶骻,Coreca,Italy,7340
哈德遜河畔的康瓦爾,Cornwall-on-Hudson,United States of America,3018
吉列姆,Gilliam,United States of America,164
埃爾克格羅夫村,Elk Grove Village,United States of America,34727
茹普拉內,Zhuprany,Belarus,745
太阳,Sun,United States of America,470
魯斯梅埃,Ruusmäe,Estonia,166
彼德拉布蘭卡,Piedra Blanca,Dominican Republic,23511
詹姆斯敦,Jamestown,United States of America,139
馬利基耶,Al-Malikiyah,Syria,39000
上馬利納,Gorna Malina,Bulgaria,1544
蘇赫奈,Al-Sukhnah,Syria,16173
布德斯勞,Budslau,Belarus,721
聖何塞德博凱,San José de Bocay,Nicaragua,42029
帕勒泰恩 (伊利諾州),Palatine,United States of America,68557
貝爾波特 (紐約),Bellport,United States of America,2084
佩尼亞什達紹迪,Penhas da Saúde,Portugal,500
蒙彼利埃,Montpelier,United States of America,266
狩猎谷,Hunting Valley,United States of America,705
阿夫倫,"Avren, Varna Province",Bulgaria,796
维德拉,Vidra,Romania,43
派恩赫斯特 (北卡羅來納州),Pinehurst,United States of America,13124
曼彻斯特,Manchester,United States of America,2023
贝克,Baker,United States of America,3
赫遜河畔黑斯廷斯,Hastings-on-Hudson,United States of America,7849
切爾諾奧切內,Chernoochene,Bulgaria,312
阿尔瓦拉,Albalá,Spain,712
巴魯內,Baruny,Belarus,525
阿纳科科,Anacoco,United States of America,886
艾林頓,Arlington Heights,United States of America,75101
朗斯特里特,Longstreet,United States of America,157
戈尔德拉,Goldonna,United States of America,430
普罗旺斯,Provencal,United States of America,708
港文森特,Port Vincent,United States of America,741
查塔格讷尔,Chataignier,United States of America,383
匹兹波罗,Pittsboro,United States of America,212
卢埃林,Lewellen,United States of America,224
普萊森特維爾,Pleasantville,United States of America,7019
南安普敦村 (紐約州),"Southampton (village), New York",United States of America,3149
格羅斯 (內布拉斯加州),Gross,United States of America,2
金斯龐特,Kings Point,United States of America,5005
梅澤格拉朱利諾,Giulino,Italy,50
切斯特港,Port Chester,United States of America,29248
春綠村,Spring Green,United States of America,1628
普莱拉治威尔,Plaucheville,United States of America,248
琴布拉,Cembra,Italy,1821
東威利斯頓 (紐約州),East Williston,United States of America,2556
亚特兰大,"Atlanta, Louisiana",United States of America,150
海雷丁,Hayredin,Bulgaria,1471
辛普森,Simpson,United States of America,583
里奇伍德,Ridgewood,United States of America,24958
基里安,Killian,United States of America,1206
前港村 (紐約州),Head of the Harbor,United States of America,1472
马卡尼奥,Maccagno,Italy,2003
斯科哈里,Schoharie,United States of America,1030
柏油村,Tarrytown,United States of America,11277
安比盧貝,Ambilobe,Madagascar,14425
孔西廖迪鲁莫,Consiglio di Rumo,Italy,1175
白魚灣,Whitefish Bay,United States of America,14110
威廉斯堡,Williamsburg,United States of America,2490
萊西喬沃,Lesichovo,Bulgaria,852
卢瑞奥威尔,Loreauville,United States of America,887
贝泽卡,Bezzecca,Italy,591
巴斯金,Baskin,United States of America,254
芬顿,Fenton,United States of America,380
科尔纳莱,Cornale,Italy,717
基尔伯恩,Kilbourne,United States of America,436
尼古拉科茲萊沃,Nikola Kozlevo,Bulgaria,822
麦克纳里,McNary,United States of America,211
米利亚罗,Migliaro,Italy,2214
下布莱焦,Bleggio Inferiore,Italy,1084
布伦比拉,Brembilla,Italy,4109
薩穆伊爾,Samuil,Bulgaria,1497
罗布莱恩,Robeline,United States of America,172
約翰遜城 (紐約州),Johnson City,United States of America,15174
吉尔伯特,Gilbert,United States of America,521
梅鲁日,Mer Rouge,United States of America,956
米利亚里诺,Migliarino,Italy,3625
杜博尔利,Dubberly,United States of America,290
杰尔马西诺,Germasino,Italy,255
斷頭谷 (紐約州),Sleepy Hollow,United States of America,9212
曼厄姆,Mangham,United States of America,595
皮耶韦迪莱德罗,Pieve di Ledro,Italy,585
西安普頓灘 (紐約州),Westhampton Beach,United States of America,1721
海蘭佛斯,Highland Falls,United States of America,3900
穆拉曼加,Moramanga,Madagascar,34299
科博斯基爾,"Cobleskill (village), New York",United States of America,4533
坦皮科,Tampico,United States of America,778
蒂亚尔诺迪索托,Tiarno di Sotto,Italy,690
薩姆納堡 (新墨西哥州),Fort Sumner,United States of America,1031
科瑞罗拉,Creola,United States of America,213
伊瓦諾沃,Ivanovo,Bulgaria,854
马萨菲斯卡利亚,Massa Fiscaglia,Italy,3561
橡树岭,Oak Ridge,United States of America,142
威尔逊,Wilson,United States of America,595
史賓賽 (內布拉斯加州),Spencer,United States of America,455
薩芬 (紐約州),Suffern,United States of America,10723
尤寧斯普林斯 (紐約州),Union Springs,United States of America,1197
弗洛林,Florien,United States of America,692
洛马索,Lomaso,Italy,1408
安吉,Angie,United States of America,240
莉莉,Lillie,United States of America,118
迪克西酒店,Dixie Inn,United States of America,352
錫托沃,"Sitovo, Silistra Province",Bulgaria,809
阿施瓦貝農 (威斯康辛州),Ashwaubenon,United States of America,16963
博尼塔,Bonita,United States of America,335
格蘭維爾 (俄亥俄州),Granville,United States of America,5646
马丁,Martin,United States of America,625
克拉克村,Clarks,United States of America,369
梅斯特雷,Mestre,Italy,89376
德赖普朗,Dry Prong,United States of America,890
哈里曼 (紐約州),Harriman,United States of America,2424
魯任齊,Ruzhintsi,Bulgaria,776
比恩维尔,Bienville,United States of America,218
多布斯碼頭 (紐約州),Dobbs Ferry,United States of America,10622
伯德特 (紐約州),Burdett,United States of America,357
伊甸 (威斯康星州),Eden,United States of America,875
西尤宁,West Union,United States of America,2903
唐納斯格羅夫,Downers Grove,United States of America,49250
海兰帕克,Highland Park,United States of America,244
南曼斯菲尔德,South Mansfield,United States of America,346
贝莱尔,Bellaire,United States of America,1086
罗德萨,Rodessa,United States of America,270
內珀 (內布拉斯加州),Naper,United States of America,84
西姆斯波洛,Simsboro,United States of America,843
中興新村,Zhongxing New Village,Taiwan,25549
瓦纳多,Varnado,United States of America,342
麥克瑙,Mackinaw City,United States of America,859
肖爾伍德 (威斯康辛州),Shorewood,United States of America,13162
罗马,Rome,United States of America,98
海崖 (紐約),Sea Cliff,United States of America,4995
谷溪,Valley Stream,United States of America,37511
美景鎮,Grand View-on-Hudson,United States of America,285
杰罗萨,Gerosa,Italy,377
莫利纳迪莱德罗,Molina di Ledro,Italy,1498
林登維爾 (佛蒙特州),Lyndonville,United States of America,1207
米兰,Milan,United States of America,1445
恩迪科特,Endicott,United States of America,13392
格罗斯太特,Grosse Tête,United States of America,670
卡尔文,Calvin,United States of America,236
德尔塔,Delta,United States of America,239
哈德遜福爾斯 (紐約州),Hudson Falls,United States of America,6927
布魯克波特,Brockport,United States of America,8366
東敘拉古,East Syracuse,United States of America,3084
薩莫沃代內,Samovodene,Bulgaria,1471
棕榈,Palmetto,United States of America,188
斯托克維爾,Stockville,United States of America,25
萨林,Saline,United States of America,277
哈里森,Harrisonburg,United States of America,348
桑巴瓦,Sambava,Madagascar,40000
桑巴瓦,Sambava,Madagascar,35150
杰克逊城,Junction City,United States of America,582
安塔拉哈,Antalaha,Madagascar,32496
佛蒙特州,Derby Line,United States of America,776
诺伍德,Norwood,United States of America,322
格蘭克 (伊利諾州),Glencoe,United States of America,8723
高文鎮,"Galway (village), New York",United States of America,214
多德森,Dodson,United States of America,337
纳切兹,Natchez,United States of America,597
珀丽,Rosedale,United States of America,753
奎特曼,Quitman,United States of America,168
海恩尼斯港 (麻薩諸塞州),Hyannis,United States of America,14089
奧潘,Opan,Bulgaria,365
蒂亚尔诺迪索普拉,Tiarno di Sopra,Italy,976
魯恩,Ruen,Bulgaria,2641
莫罗维尔,Moreauville,United States of America,929
韋內茨,"Venets, Shumen Province",Bulgaria,833
霍金斯 (威斯康辛州),Hawkins,United States of America,305
克利夫頓 (伊利諾伊州),Clifton,United States of America,1226
Ka波段,Itasca,United States of America,8649
比亞沃維耶扎,Białowieża,Poland,2670
本佐尼亞 (密歇根州),Benzonia,United States of America,497
孔切伊,Concei,Italy,758
春湖 (密歇根州),Spring Lake,United States of America,2514
亨普斯特德 (紐約州),"Hempstead (village), New York",United States of America,53891
威爾士 (威斯康辛州),Wales,United States of America,2549
惠灵顿,Wellington,United States of America,59860
德瑞兰,Doyline,United States of America,841
科林斯顿,Collinston,United States of America,287
东霍奇,East Hodge,United States of America,366
威廉斯貝,Williams Bay,United States of America,2564
法国居民点,French Settlement,United States of America,1116
達尼利夫卡,Danilivka,Ukraine,493
亞基夫西克,Q3850404,Ukraine,286
傑爾齊夫齊,Q3850442,Ukraine,79
利佩齊卡洛利亞納,Q3850149,Ukraine,2544
多姆博基,Q3850065,Ukraine,493
小馬爾京卡,Q3850136,Ukraine,897
烏克林,Q3850371,Ukraine,380
西代,Side,Turkey,11000
特雷克利亞諾,Treklyano,Bulgaria,338
費爾捷紹爾馬什,Fertesholmash,Ukraine,1070
喬爾諾季西夫,Chornotisiv,Ukraine,2232
戈爾博克,Gorbok,Ukraine,778
布布尼夫卡,Bubnivka,Ukraine,941
希特里諾,Hitrino,Bulgaria,801
別列日尼齊亞,Q4084320,Ukraine,309
比洛京,Q4082826,Ukraine,230
索贊,Sozan,Ukraine,450
蘇利亞努瓦特卡,Solianuvatka,Ukraine,552
若夫特,Zhovte,Ukraine,2315
切爾尼克,Q3850405,Ukraine,564
庫什塔諾維齊亞,Q3850083,Ukraine,765
拉茲,Q3850708,Ukraine,3801
日博里夫齊,Q3850321,Ukraine,335
溫科韋,Q3850288,Ukraine,71
甘傑羅維齊亞,Q3850048,Ukraine,284
羅德尼科瓦古塔,Q3850757,Ukraine,480
魯西卡庫恰瓦,Q3850436,Ukraine,89
巴拉熱爾,Balažer,Ukraine,816
韋謝拉戈利納,Vesela Dolyna,Ukraine,1206
庫什尼齊亞,Kushnitsia,Ukraine,6100
沃夫昌西克,Vovchanske,Ukraine,274
維利希夫卡,Vil'khivka,Ukraine,1857
多布里克,Q3851304,Ukraine,1106
大羅茲托卡,Q3849929,Ukraine,613
普拉尤齊,Q3851288,Ukraine,882
普洛斯卡諾維齊亞,Q3850282,Ukraine,254
沃夫奇,Q3850388,Ukraine,59
米庫利夫齊,Q3892478,Ukraine,289
加拉博爾,Halabor,Ukraine,752
丘普雷內,Chuprene,Bulgaria,563
敦科維齊亞,Dunkovitsia,Ukraine,815
博格達尼夫卡,Bohdanivka,Ukraine,122
斯特里加利尼亞,Stryhalnia,Ukraine,507
馬克雷什,Makresh,Bulgaria,452
涅格羅沃,Nehrovo,Ukraine,1116
巴尼特,Banite,Bulgaria,957
奧連奧沃,Olen'ovo,Ukraine,440
比利曼卡,Bilmanka,Ukraine,455
阿爾季希夫,Artyschiv,Ukraine,360
扎維多維奇,Q4183051,Ukraine,918
扎里恰尼,Q4187198,Ukraine,2439
上列梅季,Verkhni Remeti,Ukraine,489
利西喬沃,Lisichovo,Ukraine,3187
柳比托韋,Q4271641,Ukraine,288
佐洛塔多利納,Zolota Dolyna,Ukraine,139
安通,Anton,Bulgaria,1501
博加列維齊亞,Bogarevitsia,Ukraine,513
別列戈韋,Berehove,Ukraine,121
斯特魯米亞尼,Strumyani,Bulgaria,1008
科姆索莫利西克,Nimetska Mokra,Ukraine,540
薩托夫查,Satovcha,Bulgaria,2026
巴比奇,Babichi,Ukraine,962
小捷爾尼夫卡,Mala Ternivka,Ukraine,230
濟姆涅,Q4191976,Ukraine,943
索洛欽,Solochyn,Ukraine,1111
斯捷布尼,Stebnyi,Ukraine,807
別列佐盧基,Q4084674,Ukraine,390
比利科夫齊,Q4083269,Ukraine,1056
阿夫圖尼奇,Q4056475,Ukraine,357
古尼亞季,Guniadi,Ukraine,325
小佩列利斯基,Mali Perelisky,Ukraine,44
盧戈韋,Luhove,Ukraine,62
戈龍達,Goronda,Ukraine,5630
赫梅利夫,Khmeliv,Ukraine,429
大拉科韋齊,Velykyi Rakovets,Ukraine,4545
多夫格,Dovge,Ukraine,6790
奧列克西伊夫卡,Oleksiivka,Ukraine,51
伊萬奇齊,Q4196888,Ukraine,854
扎馬戈拉,Q4185637,Ukraine,1185
維紹夫格勒,Vishovgrad,Bulgaria,327
維紹夫格勒,Vishovgrad,Bulgaria,386
拉夫基,Lavki,Ukraine,1299
小烏戈利卡,Q3850887,Ukraine,1503
比利亞基,Q4083527,Ukraine,885
比拉里奇卡,Q4081627,Ukraine,157
西尼亞克,Syniak,Ukraine,200
傑什科維齊亞,Q3850023,Ukraine,690
克利莫維齊亞,Q3849815,Ukraine,397
凱達諾沃,Q3850399,Ukraine,1224
別列津卡,Q3850307,Ukraine,624
小羅茲托卡,Q3850187,Ukraine,510
洛普什涅,Q3850719,Ukraine,650
科西夫韋爾赫,Q3850797,Ukraine,16
羅莫切維齊亞,Q3849941,Ukraine,560
扎戈爾比,Q4183515,Ukraine,293
克里捷,Q3850357,Ukraine,346
布列斯季夫,Q3850293,Ukraine,355
恰賓,Q3850155,Ukraine,168
普洛斯基波季克,Q3850482,Ukraine,269
杜比諾,Q3850457,Ukraine,649
波利亞納,Q3849760,Ukraine,2747
科西諾,Q3850631,Ukraine,1026
維利希夫齊-拉濟,Q3850815,Ukraine,3215
羅斯托維亞季齊亞,Q3850369,Ukraine,191
別伊濟米,Q4081187,Ukraine,249
比利任齊,Q4081894,Ukraine,225
季巴瓦,Tybava,Ukraine,923
盧科沃,Lukovo,Ukraine,1558
圖爾巴伊,Turbai,Ukraine,210
比拉采爾克瓦,Bila Tserkva,Ukraine,3024
比拉采爾克瓦,Bila Tserkva,Belarus,3024
科瓦切夫齊,"Kovachevtsi, Pernik Province",Bulgaria,429
梅季尼亞,Q4288010,Ukraine,1511
舊達維德科沃,Stare Davydkovo,Ukraine,610
茲里奇涅,Zarichne,Ukraine,14
別列斯托韋,Berestove,Ukraine,152
恰夫達爾,"Chavdar, Sofia Province",Bulgaria,1253
伊瓦什科維齊亞,Ivashkovitsia,Ukraine,348
扎傑列瓦奇,Zaderevach,Ukraine,595
新城,Nove Misto,Ukraine,878
小謝爾巴基,Mali Scherbaky,Ukraine,355
馬爾福皮利,Marfopil,Ukraine,294
切洛佩奇,Chelopech,Bulgaria,1714
采諾沃,"Tsenovo, Ruse Province",Bulgaria,1635
卡洛亞諾沃,"Kaloyanovo, Plovdiv Province",Bulgaria,2605
基爾科沃,Kirkovo,Bulgaria,724
小科別利亞喬克,Q4278942,Ukraine,1057
甘科維齊亞,Hanjkovicja,Ukraine,518
西特尼,Sitnyi,Ukraine,142
博古尼夫卡,Bohunivka,Ukraine,49
博里諾,Borino,Bulgaria,2399
梅日里奇,Q4288775,Ukraine,1490
布拉熱涅齊,Brazhenets',Ukraine,54
科皮尼夫齊,Kopinivci,Ukraine,803
濟爾尼齊亞,Zirnytsia,Ukraine,92
新塞洛,"Novo Selo, Vidin",Bulgaria,1137
維利尼亞,Q4124698,Ukraine,330
伊姆斯季喬沃,Q665834,Ukraine,2729
米爾科沃,Mirkovo,Bulgaria,1643
普萊,Q2090251,Ukraine,232
博里西夫,Q4093903,Ukraine,1491
比列韋,Q4081771,Ukraine,652
比洛別里茲卡,Q4082127,Ukraine,1234
洛帕特尼,Q4266703,Ukraine,250
馬茹吉夫卡,Q4274425,Ukraine,24
普里莫爾西克,Prymorske,Ukraine,1407
薩馬里-奧里霍維,Q4406465,Ukraine,1082
新克里沃圖利,Q4326402,Ukraine,1008
