label,entityLabel,countryLabel
新普斯科夫區,Novopskov Raion,Ukraine
博羅江卡區,Borodianka Raion,Ukraine
五一區,Pervomaiske Raion,Russia
五一區,Pervomaiske Raion,Ukraine
茲韋尼戈羅德卡區,Zvenyhorodka Raion,Ukraine
戈爾諾斯塔伊夫卡區,Hornostaivka Raion,Ukraine
柳巴爾區,Liubar Raion,Ukraine
斯韋特洛沃茨克區,Svitlovodsk Raion,Ukraine
貝里斯拉夫區,Beryslav Raion,Ukraine
蓋沃龍區,Haivoron Raion,Ukraine
羅馬尼夫區,Romaniv Raion,Ukraine
鮑里斯皮爾區,Boryspil Raion,Ukraine
馬拉維斯卡區,Mala Vyska Raion,Ukraine
科羅斯堅區,Korosten Raion,Ukraine
波格列比謝區,Pohrebyshche Raion,Ukraine
蘇維埃區,Sovietskyi Raion,Russia
盧布尼區,Lubny Raion,Ukraine
蘇維埃區,Sovietskyi Raion,Ukraine
多布羅皮利亞區,Dobropillia Raion,Ukraine
巴甫洛格勒區,Pavlohrad Raion,Ukraine
斯克維拉區,Skvyra Raion,Ukraine
普里盧基區,Pryluky Raion,Ukraine
阿特米夫斯克区,Bakhmut Raion,Ukraine
穆卡切沃區,Mukacheve Raion,Ukraine
沃洛韋齊區,Volovets Raion,Ukraine
佳切夫區,Tiachiv Raion,Ukraine
烏日霍羅德區,Uzhhorod Raion,Ukraine
亞爾莫林齊區,Yarmolyntsi Raion,Ukraine
梅利托波爾區,Melitopol Raion,Ukraine
丘德尼夫区,Chudniv Raion,Ukraine
克列梅涅茨區,Kremenets Raion,Ukraine
布羅瓦里區,Brovary Raion,Ukraine
布魯西利夫區,Brusyliv Raion,Ukraine
涅米羅夫區,Nemyriv Raion,Ukraine
盧吉尼區,Luhyny Raion,Ukraine
魯任區,Ruzhyn Raion,Ukraine
紅軍區,Pokrovsk Raion,Ukraine
舍佩蒂夫卡區,Shepetivka Raion,Ukraine
薩拉塔區,Sarata Raion,Ukraine
博霍杜希夫區,Bohodukhiv Raion,Ukraine
利波韋茨區,Lypovets Raion,Ukraine
新敖德薩區,Nova Odesa Raion,Ukraine
沃爾諾瓦哈區,Volnovakha Raion,Ukraine
米洛韋區,Milove Raion,Ukraine
別列茲涅古瓦捷區,Bereznehuvate Raion,Ukraine
洛佐瓦區,Lozova Raion,Ukraine
科托夫斯克區,Podilsk Raion,Ukraine
奧列克桑德里夫卡區,Oleksandrivka Raion,Ukraine
埃米利奇涅區,Yemilchyne Raion,Ukraine
布拉特西克區,Bratske Raion,Ukraine
庫皮揚斯克區,Kupiansk Raion,Ukraine
斯尼胡里夫卡區,Snihurivka Raion,Ukraine
治托米亞區,Zhytomyr Raion,Ukraine
皮先卡區,Pishchanka Raion,Ukraine
葉拉涅齊區,Yelanets Raion,Ukraine
捷列博夫利亞區,Terebovlia Raion,Ukraine
捷爾諾波爾區,Ternopil Raion,Ukraine
阿波斯托洛韋區,Apostolove Raion,Ukraine
諾夫哥羅德-謝韋爾斯基區,Novhorod-Siverskyi Raion,Ukraine
茲古里夫卡區,Zgurivka Raion,Ukraine
里普基區,Ripky Raion,Ukraine
孔帕尼伊夫卡區,Kompaniivka Raion,Ukraine
普季拉區,Putyla Raion,Ukraine
白山区,Bilohirsk Raion,Russia
佩爾沃邁斯基區,Pervomaisk Raion,Ukraine
白山区,Bilohirsk Raion,Ukraine
舒姆西克區,Shumsk Raion,Ukraine
基利亞區,Kiliya Raion,Ukraine
拉兹多利诺耶区,Rozdolne Raion,Russia
拉兹多利诺耶区,Rozdolne Raion,Ukraine
特羅斯佳涅茨區,"Trostianets Raion, Sumy Oblast",Ukraine
阿納尼耶夫區,Ananyiv Raion,Ukraine
博爾赫拉德區,Bolhrad Raion,Ukraine
伊賈斯拉夫區,Iziaslav Raion,Ukraine
奧列霍夫區,Orikhiv Raion,Ukraine
新烏希齊亞區,Nova Ushytsia Raion,Ukraine
諾沃米科拉伊夫卡區,Novomykolaivka Raion,Ukraine
維日尼察區,Vyzhnytsia Raion,Ukraine
別列戈沃區,Berehove Raion,Ukraine
別廖茲諾區,Berezne Raion,Ukraine
喬爾特基夫區,Chortkiv Raion,Ukraine
塔拉拉伊夫卡區,Talalaivka Raion,Ukraine
切爾卡瑟區,Cherkasy Raion,Ukraine
科列茨區,Korets Raion,Ukraine
伯沙德區,Bershad Raion,Ukraine
卡扎京區,Koziatyn Raion,Ukraine
皮德沃洛奇西克區,Pidvolochysk Raion,Ukraine
切爾尼戈夫區,Chernihiv Raion,Ukraine
伊林齊區,Illintsi Raion,Ukraine
佩列亞斯拉夫-赫梅利尼茨基區,Pereiaslav-Khmelnytskyi Raion,Ukraine
奧努夫里伊夫卡區,Onufriivka Raion,Ukraine
拉季維利夫區,Radyvyliv Raion,Ukraine
科澤列齊區,Kozelets Raion,Ukraine
博胡斯拉夫區,Bohuslav Raion,Ukraine
列別金區,Lebedyn Raion,Ukraine
亞戈京區,Yahotyn Raion,Ukraine
切爾沃諾阿爾米西克區,Pulyny Raion,Ukraine
洛卡奇區,Lokachi Raion,Ukraine
沃倫斯基新城區,Novohrad-Volynskyi Raion,Ukraine
波皮利尼亞區,Popilnia Raion,Ukraine
馬林區,Malyn Raion,Ukraine
塔魯季涅區,Tarutyne Raion,Ukraine
弗倫濟夫卡區,Zakharivka Raion,Ukraine
比洛沃德西克區,Bilovodsk Raion,Ukraine
托克馬克區,Tokmak Raion,Ukraine
維利尚卡區,Vilshanka Raion,Ukraine
維索科皮利亞區,Vysokopillia Raion,Ukraine
新艾達爾區,Novoaidar Raion,Ukraine
斯卡多夫斯克區,Skadovsk Raion,Ukraine
沃爾昌斯克區,Vovchansk Raion,Ukraine
舊別利斯克區,Starobilsk Raion,Ukraine
克拉斯诺佩列科普斯克区,Krasnoperekopsk Raion,Russia
克拉斯诺佩列科普斯克区,Krasnoperekopsk Raion,Ukraine
米日吉里亞區,Mizhhirya Raion,Ukraine
梅若瓦區,Mezhova Raion,Ukraine
克吉奇夫卡區,Kehychivka Raion,Ukraine
克列緬納亞區,Kreminna Raion,Ukraine
布利茲紐基區,Blyzniuky Raion,Ukraine
波帕斯納區,Popasna Raion,Ukraine
米海利夫卡區,Mykhailivka Raion,Ukraine
舊西尼亞瓦區,Stara Syniava Raion,Ukraine
列尼區,Reni Raion,Ukraine
杜納伊夫齊區,Dunaivtsi Raion,Ukraine
塔利諾耶區,Talne Raion,Ukraine
比洛吉里亞區,Bilohiria Raion,Ukraine
卡盧什區,Kalush Raion,Ukraine
斯尼亞滕區,Sniatyn Raion,Ukraine
科洛梅亞區,Kolomyia Raion,Ukraine
納德沃爾納亞區,Nadvirna Raion,Ukraine
謝苗諾夫卡區,Semenivka Raion,Ukraine
大列佩季哈區,Velyka Lepetykha Raion,Ukraine
若夫克瓦區,Zhovkva Raion,Ukraine
基洛夫斯基区,Kirovske Raion,Russia
傑米季夫卡區,Demydivka Raion,Ukraine
基洛夫斯基区,Kirovske Raion,Ukraine
戈夏區,Hoscha Raion,Ukraine
康斯坦丁諾夫卡區,Kostiantynivka Raion,Ukraine
希里亞葉韋區,Shyriaieve Raion,Ukraine
基茨曼區,Kitsman Raion,Ukraine
斯托羅日涅茨區,Storozhynets Raion,Ukraine
哈爾科夫區,Kharkiv Raion,Ukraine
奧列夫斯克區,Olevsk Raion,Ukraine
季夫里夫區,Tyvriv Raion,Ukraine
弗拉季伊夫卡區,Vradiivka Raion,Ukraine
蘇梅區,Sumy Raion,Ukraine
別列佐夫卡區,Berezivka Raion,Ukraine
別利亞耶夫卡區,Biliaivka Raion,Ukraine
第聶伯羅彼得羅夫斯克區,Dnipro Raion,Ukraine
占科伊区,Dzhankoy Raion,Russia
占科伊区,Dzhankoy Raion,Ukraine
奧斯特羅赫區,Ostroh Raion,Ukraine
特盧馬奇區,Tlumach Raion,Ukraine
羅加京區,Rohatyn Raion,Ukraine
大米海利夫卡區,Velyka Mykhailivka Raion,Ukraine
別列扎內區,Berezhany Raion,Ukraine
伊奇尼亞區,Ichnia Raion,Ukraine
巴拉克列亞區,Balakliia Raion,Ukraine
克里若皮利區,Kryzhopil Raion,Ukraine
杜布諾區,Dubno Raion,Ukraine
韋謝利諾韋區,Veselynove Raion,Ukraine
季坎卡區,Dykanka Raion,Ukraine
卡緬涅茨-波多利斯基區,Kamianets-Podilskyi Raion,Ukraine
戈羅多克區,"Horodok Raion, Khmelnytskyi Oblast",Ukraine
波隆涅區,Polonne Raion,Ukraine
亞姆皮利區,"Yampil Raion, Sumy Oblast",Ukraine
若夫特涅維區,Vitovka Raion,Ukraine
阿爾齊茲區,Artsyz Raion,Ukraine
瓦爾基區,Valky Raion,Ukraine
伊爾沙瓦區,Irshava Raion,Ukraine
胡斯特區,Khust Raion,Ukraine
卡緬卡第聶伯羅夫斯卡亞區,Kamianka-Dniprovska Raion,Ukraine
希沙基區,Shyshaky Raion,Ukraine
米科拉伊夫區,Mykolaiv Raion,Ukraine
伊萬基夫區,Ivankiv Raion,Ukraine
卡明-卡希爾西基區,Kamin-Kashyrskyi Raion,Ukraine
舊維日夫卡區,Stara Vyzhivka Raion,Ukraine
卡尼夫區,Kaniv Raion,Ukraine
佩列瓦利斯克區,Perevalsk Raion,Ukraine
大巴加奇卡區,Velyka Bahachka Raion,Ukraine
大布爾盧克區,Velykyi Burluk Raion,Ukraine
布倫區,Buryn Raion,Ukraine
扎斯塔夫納區,Zastavna Raion,Ukraine
舍夫琴科韋區,Shevchenkove Raion,Ukraine
巴爾塔區,Balta Raion,Ukraine
科德馬區,Kodyma Raion,Ukraine
博爾茲納區,Borzna Raion,Ukraine
圖利欽區,Tulchyn Raion,Ukraine
梅納區,Mena Raion,Ukraine
涅任區,Nizhyn Raion,Ukraine
波利西基區,Poliske Raion,Ukraine
科留科夫卡區,Koriukivka Raion,Ukraine
沃洛達爾卡區,Volodarka Raion,Ukraine
圖爾卡區,Turka Raion,Ukraine
德拉比夫區,Drabiv Raion,Ukraine
托馬什皮利區,Tomashpil Raion,Ukraine
捷普利克區,Teplyk Raion,Ukraine
奧布希夫區,Obukhiv Raion,Ukraine
杜布羅維察區,Dubrovytsia Raion,Ukraine
捷季耶夫區,Tetiiv Raion,Ukraine
格盧霍夫區,Hlukhiv Raion,Ukraine
穆羅瓦尼庫里利夫齊區,Murovani Kurylivtsi Raion,Ukraine
米羅諾夫卡區,Myronivka Raion,Ukraine
巴爾區,Bar Raion,Ukraine
什波拉區,Shpola Raion,Ukraine
斯拉武塔區,Slavuta Raion,Ukraine
揚皮爾區,"Yampil Raion, Vinnytsia Oblast",Ukraine
沙齊克區,Shatsk Raion,Ukraine
克列緬丘格區,Kremenchuk Raion,Ukraine
中布達區,Seredyna-Buda Raion,Ukraine
克拉斯諾皮利亞區,Krasnopillia Raion,Ukraine
卡霍夫卡區,Kakhovka Raion,Ukraine
卡贊卡區,Kazanka Raion,Ukraine
比洛皮利亞區,Bilopillia Raion,Ukraine
希羅克區,Shyroke Raion,Ukraine
斯拉维扬斯克区,Sloviansk Raion,Ukraine
波克羅夫西克區,Pokrovske Raion,Ukraine
邵爾斯區,Snovsk Raion,Ukraine
薩夫蘭區,Savran Raion,Ukraine
烏斯季尼夫卡區,Ustynivka Raion,Ukraine
扎什基夫區,Zhashkiv Raion,Ukraine
下山區,Nyzhnohirskyi Raion,Russia
下山區,Nyzhnohirskyi Raion,Ukraine
新桑扎里區,Novi Sanzhary Raion,Ukraine
戈拉亞普里斯坦區,Hola Prystan Raion,Ukraine
拉茲傑利納亞區,Rozdilna Raion,Ukraine
克拉斯尼奧克尼區,Okny Raion,Ukraine
伊瓦尼奇區,Ivanychi Raion,Ukraine
盧茨克區,Lutsk Raion,Ukraine
別爾基切夫區,Berdychiv Raion,Ukraine
大亞歷山德里夫卡區,Velyka Oleksandrivka Raion,Ukraine
戈羅霍夫區,Horokhiv Raion,Ukraine
亞基米夫卡區,Yakymivka Raion,Ukraine
奧爾日齊亞區,Orzhytsia Raion,Ukraine
新沃多拉加區,Nova Vodolaha Raion,Ukraine
皮里亞京區,Pyriatyn Raion,Ukraine
尼古拉耶夫區,Mykolaiv Raion,Ukraine
謝梅尼夫卡區,Semenivka Raion,Ukraine
洛赫維察區,Lokhvytsia Raion,Ukraine
米科拉伊夫卡區,Mykolaivka Raion,Ukraine
弗拉基米爾-沃倫斯基區,Volodymyr-Volynskyi Raion,Ukraine
切爾尼夫齊區,Chernivtsi Raion,Ukraine
下西羅戈濟區,Nyzhni Sirohozy Raion,Ukraine
克里尼奇基區,Krynychky Raion,Ukraine
上德尼普羅夫斯克區,Verkhnodniprovsk Raion,Ukraine
多布羅韋利奇基夫卡區,Dobrovelychkivka Raion,Ukraine
捷利馬諾韋區,Boykivske Raion,Ukraine
格尼奇斯克區,Henichesk Raion,Ukraine
秋魯平斯克區,Oleshky Raion,Ukraine
馬格達利尼夫卡區,Mahdalynivka Raion,Ukraine
拉諾夫齊區,Lanivtsi Raion,Ukraine
諾索夫卡區,Nosivka Raion,Ukraine
克拉斯諾庫特西克區,Krasnokutsk Raion,Ukraine
博爾曉夫區,Borschiv Raion,Ukraine
布恰奇區,Buchach Raion,Ukraine
錫涅利尼科沃區,Synelnykove Raion,Ukraine
列季奇夫區,Letychiv Raion,Ukraine
羅夫諾區,Rivne Raion,Ukraine
圖里西克區,Turiisk Raion,Ukraine
馬涅維奇區,Manevychi Raion,Ukraine
博布羅維齊亞區,Bobrovytsia Raion,Ukraine
姆利尼夫區,Mlyniv Raion,Ukraine
瓦爾瓦區,Varva Raion,Ukraine
瓦西里基夫區,Vasylkiv Raion,Ukraine
基韋爾齊區,Kivertsi Raion,Ukraine
柳別希夫區,Lyubeshiv Raion,Ukraine
留波姆區,Liuboml Raion,Ukraine
科韋利區,Kovel Raion,Ukraine
羅日謝區,Rozhysche Raion,Ukraine
伊瓦尼夫卡區,Ivanivka Raion,Ukraine
拉特涅區,Ratne Raion,Ukraine
吉利博卡區,Hlyboka Raion,Ukraine
沃洛奇斯克區,Volochysk Raion,Ukraine
利相卡區,Lysianka Raion,Ukraine
沃洛達爾西克-沃林西基區,Khoroshiv Raion,Ukraine
米爾哥羅德區,Myrhorod Raion,Ukraine
科澤利希納區,Kozelshchyna Raion,Ukraine
科爾孫-舍甫琴柯夫斯基區,Korsun-Shevchenkivskyi Raion,Ukraine
佩爾紹特拉夫涅維區,Manhush Raion,Ukraine
克羅列韋茨區,Krolevets Raion,Ukraine
克里韋奧澤羅區,Kryve Ozero Raion,Ukraine
卡蘭恰克區,Kalanchak Raion,Ukraine
恰普林卡區,Chaplynka Raion,Ukraine
戈洛瓦尼夫西克區,Holovanivsk Raion,Ukraine
托馬基夫卡區,Tomakivka Raion,Ukraine
海辛區,Haisyn Raion,Ukraine
日爾伊夫卡區,Yurivka Raion,Ukraine
沙赫喬爾斯克區,Shakhtarsk Raion,Ukraine
特羅斯佳涅齊區,"Trostianets Raion, Vinnytsia Oblast",Ukraine
紹斯特卡區,Shostka Raion,Ukraine
諾維布格區,Novyi Buh Raion,Ukraine
別列贊卡區,Berezanka Raion,Ukraine
博羅瓦區,Borova Raion,Ukraine
佩特里基夫卡區,Petrykivka Raion,Ukraine
德羅霍貝奇區,Drohobych Raion,Ukraine
傑拉日尼亞區,Derazhnia Raion,Ukraine
利京區,Lityn Raion,Ukraine
哈佳奇區,Hadiach Raion,Ukraine
多馬尼夫卡區,Domanivka Raion,Ukraine
巴文科伏區,Barvinkove Raion,Ukraine
大皮薩里夫卡區,Velyka Pysarivka Raion,Ukraine
新特羅伊齊克區,Novotroitske Raion,Ukraine
斯塔拉別舍韋區,Starobesheve Raion,Ukraine
沙爾霍羅德區,Sharhorod Raion,Ukraine
索洛涅區,Solone Raion,Ukraine
奧夫魯奇區,Ovruch Raion,Ukraine
法斯蒂夫區,Fastiv Raion,Ukraine
扎里奇涅區,Zarichne Raion,Ukraine
沃茲涅先斯克區,Voznesensk Raion,Ukraine
科明捷爾尼夫西克區,Lyman Raion,Ukraine
索斯尼齊亞區,Sosnytsia Raion,Ukraine
奇吉林區,Chyhyryn Raion,Ukraine
烏曼區,Uman Raion,Ukraine
茲多爾布尼夫區,Zdolbuniv Raion,Ukraine
格爾察區,Hertsa Raion,Ukraine
索基里亞尼區,Sokyriany Raion,Ukraine
新莫斯科斯克區,Novomoskovsk Raion,Ukraine
佩爾沃邁西基區,"Pervomaiskyi Raion, Kharkiv Oblast",Ukraine
卡緬卡區,Kamianka Raion,Ukraine
特羅伊齊克區,Troitske Raion,Ukraine
切梅里夫齊區,Chemerivtsi Raion,Ukraine
克拉西利夫區,Krasyliv Raion,Ukraine
列舍季利夫卡區,Reshetylivka Raion,Ukraine
斯瓦托韋區,Svatove Raion,Ukraine
科捷利瓦區,Kotelva Raion,Ukraine
津科夫區,Zinkiv Raion,Ukraine
薩赫諾夫希納區,Sakhnovschyna Raion,Ukraine
韋爾霍維納區,Verkhovyna Raion,Ukraine
比爾戈羅德-德尼斯特羅夫西基區,Bilhorod-Dnistrovskyi Raion,Ukraine
切爾尼吉夫卡區,Chernihivka Raion,Ukraine
丘托韋區,Chutove Raion,Ukraine
喬爾努希區,Chornukhy Raion,Ukraine
戈羅季謝區,Horodysche Raion,Ukraine
曼基夫卡區,Mankivka Raion,Ukraine
莫納斯特里謝區,Monastyrysche Raion,Ukraine
維諾吉拉季夫區,Vynohradiv Raion,Ukraine
柳巴希夫卡區,Liubashivka Raion,Ukraine
韃靼布納雷區,Tatarbunary Raion,Ukraine
斯里布涅區,Sribne Raion,Ukraine
大比洛澤爾卡區,Velyka Bilozerka Raion,Ukraine
捷奧菲波利區,Teofipol Raion,Ukraine
瓦西利夫卡區,Vasylivka Raion,Ukraine
紅衛兵區,Krasnohvardiiske Raion,Russia
紅衛兵區,Krasnohvardiiske Raion,Ukraine
傑爾加奇區,Derhachi Raion,Ukraine
伊久姆區,Izium Raion,Ukraine
格洛比諾區,Hlobyne Raion,Ukraine
羅濟夫卡區,Rozivka Raion,Ukraine
維利尼揚斯克區,Vilniansk Raion,Ukraine
列宁区,Lenine Raion of Crimea,Russia
列宁区,Lenine Raion of Crimea,Ukraine
戈羅堅卡區,Horodenka Raion,Ukraine
皮亞季哈特基區,Piatykhatky Raion,Ukraine
亞歷山德里夫卡區,Oleksandrivka Raion,Ukraine
喬爾諾拜區,Chornobai Raion,Ukraine
佐洛托諾沙區,Zolotonosha Raion,Ukraine
新謝利察區,Novoselytsia Raion,Ukraine
奧維季奧波利區,Ovidiopol Raion,Ukraine
奎比舍韋區,Bilmak Raion,Ukraine
羅日尼亞季夫區,Rozhniativ Raion,Ukraine
普季夫利區,Putvyl,Ukraine
科諾托普區,Konotop Raion,Ukraine
扎波羅熱區,Zaporizhia Raion,Ukraine
瓦西利基夫卡區,Vasylkivka Raion,Ukraine
加利奇區,Halych Raion,Ukraine
多利納區,Dolyna Raion,Ukraine
伊斯梅爾區,Izmail Raion,Ukraine
庫利基夫卡區,Kulykivka Raion,Ukraine
卡爾利夫卡區,Karlivka Raion,Ukraine
佩切尼吉區,Pechenihy Raion,Ukraine
霍羅爾區,Khorol Raion,Ukraine
茲米約夫區,Zmiiv Raion,Ukraine
博戈羅德恰尼區,Bohorodchany Raion,Ukraine
卡捷里諾皮利區,Katerynopil Raion,Ukraine
多林斯卡區,Dolynska Raion,Ukraine
利波瓦多利納區,Lypova Dolyna Raion,Ukraine
羅姆內區,Romny Raion,Ukraine
赫梅利尼克區,Khmilnyk Raion,Ukraine
阿赫特爾卡區,Okhtyrka Raion,Ukraine
波洛吉區,Polohy Raion,Ukraine
克里沃羅格區,Kryvyi Rih Raion,Ukraine
涅德里蓋利夫區,Nedryhailiv Raion,Ukraine
格列比翁卡區,Hrebinka Raion,Ukraine
韋謝列區,Vesele Raion,Ukraine
